"fecha","mes","anio","servicio","tipo_pago","afluencia"
2022-01-29,"Enero",2022,"Sevicios Temporales","boleto",2303
2022-01-29,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-29,"Enero",2022,"Sevicios Temporales","gratuidad",398
2022-01-30,"Enero",2022,"Sevicios Temporales","boleto",2508
2022-01-30,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-30,"Enero",2022,"Sevicios Temporales","gratuidad",434
2022-01-31,"Enero",2022,"Sevicios Temporales","boleto",2982
2022-01-31,"Enero",2022,"Sevicios Temporales","prepago",0
2022-01-31,"Enero",2022,"Sevicios Temporales","gratuidad",516
2022-02-01,"Febrero",2022,"Sevicios Temporales","boleto",3436
2022-02-01,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-01,"Febrero",2022,"Sevicios Temporales","gratuidad",859
2022-02-02,"Febrero",2022,"Sevicios Temporales","boleto",4470
2022-02-02,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-02,"Febrero",2022,"Sevicios Temporales","gratuidad",1117
2022-02-03,"Febrero",2022,"Sevicios Temporales","boleto",5003
2022-02-03,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-03,"Febrero",2022,"Sevicios Temporales","gratuidad",1251
2022-02-04,"Febrero",2022,"Sevicios Temporales","boleto",4098
2022-02-04,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-04,"Febrero",2022,"Sevicios Temporales","gratuidad",1025
2022-02-05,"Febrero",2022,"Sevicios Temporales","boleto",1537
2022-02-05,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-05,"Febrero",2022,"Sevicios Temporales","gratuidad",385
2022-02-06,"Febrero",2022,"Sevicios Temporales","boleto",479
2022-02-06,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-06,"Febrero",2022,"Sevicios Temporales","gratuidad",120
2022-02-07,"Febrero",2022,"Sevicios Temporales","boleto",603
2022-02-07,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-07,"Febrero",2022,"Sevicios Temporales","gratuidad",151
2022-02-08,"Febrero",2022,"Sevicios Temporales","boleto",1285
2022-02-08,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-08,"Febrero",2022,"Sevicios Temporales","gratuidad",321
2022-02-09,"Febrero",2022,"Sevicios Temporales","boleto",1187
2022-02-09,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-09,"Febrero",2022,"Sevicios Temporales","gratuidad",297
2022-02-10,"Febrero",2022,"Sevicios Temporales","boleto",1284
2022-02-10,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-10,"Febrero",2022,"Sevicios Temporales","gratuidad",321
2022-02-11,"Febrero",2022,"Sevicios Temporales","boleto",1222
2022-02-11,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-11,"Febrero",2022,"Sevicios Temporales","gratuidad",306
2022-02-12,"Febrero",2022,"Sevicios Temporales","boleto",765
2022-02-12,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-12,"Febrero",2022,"Sevicios Temporales","gratuidad",192
2022-02-13,"Febrero",2022,"Sevicios Temporales","boleto",371
2022-02-13,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-13,"Febrero",2022,"Sevicios Temporales","gratuidad",93
2022-02-14,"Febrero",2022,"Sevicios Temporales","boleto",1301
2022-02-14,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-14,"Febrero",2022,"Sevicios Temporales","gratuidad",325
2022-02-15,"Febrero",2022,"Sevicios Temporales","boleto",1383
2022-02-15,"Febrero",2022,"Sevicios Temporales","prepago",0
2022-02-15,"Febrero",2022,"Sevicios Temporales","gratuidad",346
2022-02-16,"Febrero",2022,"Sevicios Temporales","boleto",0
2022-02-16,"Febrero",2022,"Sevicios Temporales","prepago",0
